model,language,attribute,bias
flan-t5-base,ar,Race,0.04938271604938
gpt-4,ar,Sexual_orientation,0.04629629629629334
flan-t5-base,ar,Sexual_orientation,0.04629629629629334
gpt-4,ar-eg,Sexual_orientation,0.04629629629628997
gpt-4,en-uk,Income,0.04061624649860504
gpt-4,en-us,Social-Class,0.03064373897707667
flan-t5-base,ar,Religion,0.02469135802469
Llama-3.1-8B,ar,Religion,4.070817756958907e-16
flan-t5-base,ar-eg,Refugee,0.0
flan-t5-base,ar-eg,Physical_ability,0.0
flan-t5-base,ar-eg,Religion,0.0
flan-t5-base,ar-eg,Sexual_orientation,0.0
gpt-4,de,Gender,0.0
gpt-4,de,Physical ability,0.0
gpt-4,de,Race,0.0
gpt-4,de,Religion,0.0
flan-t5-base,ar,Physical_ability,0.0
gpt-4,de,Social-Class,0.0
gpt-4,de,Refugees,0.0
LLaMmlein_1B,de,Gender,-0.0231481481481501
flan-t5-base,de,Race,-0.029761904761910003
gpt-4,en-uk,Religion,-0.03703703703703667
gpt-4,en-uk,Race,-0.05925925925925668
Llama-3.1-8B,de,Social-Class,-0.062499999999999965
flan-t5-base,de,Religion,-0.08101851851852336
flan-t5-base,de,Social-Class,-0.12500000000000003
gpt-4,en-us,Religion,-0.13159722222222336
Llama-3.1-8B,de,Refugees,-0.16666666666666674
bloom-7b1,en-us,Religion,-0.171875
flan-t5-base,ar,Gender,-0.18518518518518334
gpt-4,ar-eg,Gender,-0.18518518518518334
gpt-4,ar-eg,Race,-0.1851851851851866
leo-mistral-hessianai-7b-chat,de,Race,-0.2678571428571467
bloom-7b1,en-us,Gender,-0.28087797619047633
Llama-3.1-8B,de,Race,-0.3571428571428634
flan-t5-base,ar-eg,Race,-0.37037037037036996
Llama-3.1-8B,en-us,Gender,-0.38318452380952017
flan-t5-base,en-uk,Religion,-0.3981481481481466
bloom-7b1,de,Sexual orientation,-0.4092261904761935
gpt-4,en-us,Race,-0.4330357142857167
gpt-4,ar-eg,Refugee,-0.5092592592592633
gpt-4,ar,Race,-0.5185185185185234
Llama-3.1-8B,en-us,Religion,-0.5260416666666675
bloom-7b1,de,Race,-0.5357142857142899
bloom-7b1,ar,Religion,-0.5679012345679001
LLaMmlein_1B,de,Race,-0.5952380952380999
aya-expanse-8b,en-uk,Gender,-0.6289682539682567
flan-t5-base,en-us,Physical ability,-0.6770833333333329
leo-mistral-hessianai-7b-chat,de,Social-Class,-0.71875
Llama-3.1-8B,ar,Sexual_orientation,-0.7407407407407436
aya-expanse-8b,ar-eg,Religion,-0.7834757834757798
gpt-4,ar-eg,Physical_ability,-0.8641975308641999
bloom-7b1,de,Physical ability,-0.9166666666666666
aya-expanse-8b,ar,Sexual_orientation,-1.0648148148148167
bloom-7b1,en-us,Sexual orientation,-1.1458333333333368
leo-mistral-hessianai-7b-chat,de,Refugees,-1.1666666666666667
Llama-3.1-8B,ar-eg,Sexual_orientation,-1.2037037037037026
bloom-7b1,en-uk,Disability,-1.2083333333333335
aya-expanse-8b,en-us,Gender,-1.21182266009852
bloom-7b1,ar-eg,Physical_ability,-1.2962962962962936
bloom-7b1,de,Gender,-1.2962962962963036
Llama-3.1-8B,en-uk,Gender,-1.3452380952380938
bloom-7b1,ar-eg,Gender,-1.4197530864197576
aya-expanse-8b,ar-eg,Gender,-1.6049382716049367
Llama-3.1-8B,en-uk,Disability,-1.666666666666662
bloom-7b1,en-uk,Gender,-2.186507936507942
Llama-3.1-8B,en-us,Physical ability,-2.34375
bloom-7b1,ar-eg,Religion,-2.450142450142447
flan-t5-base,de,Physical ability,-2.5833333333333335
bloom-7b1,en-uk,Sexual-Orientation,-2.651851851851848
bloom-7b1,ar-eg,Race,-2.77777777777778
flan-t5-base,en-uk,Income,-3.1190476190476195
bloom-7b1,ar,Gender,-3.14814814814815
aya-expanse-8b,en-uk,Sexual-Orientation,-3.4481481481481517
aya-expanse-8b,en-uk,Disability,-3.6250000000000027
leo-mistral-hessianai-7b-chat,de,Sexual orientation,-3.65327380952381
aya-expanse-8b,en-uk,Race,-4.5629629629629616
leo-mistral-hessianai-7b-chat,de,Physical ability,-4.875
aya-expanse-8b,en-us,Race,-5.535714285714294
LLaMmlein_1B,de,Physical ability,-5.916666666666667
aya-expanse-8b,en-us,Sexual orientation,-5.922222222222223
Llama-3.1-8B,en-uk,Race,-6.245502645502648
LLaMmlein_1B,de,Sexual orientation,-6.934523809523809
Llama-3.1-8B,de,Physical ability,-8.083333333333334
Llama-3.1-8B,en-us,Race,-8.616071428571436
Llama-3.1-8B,de,Sexual orientation,-12.11309523809524
